2016-08-30 11:20:49
AM2302 Humidity - Temperature Sensor
Minute	Hour	Day	Temp1 (C)	Temp2 (C)	Humidity1 	 Humidity2 
0	0	1	18.90 *C	18.80 *C	56.00 %		64.00 %	
10	0	1	18.80 *C	18.90 *C	56.30 %		63.80 %	
20	0	1	18.70 *C	18.70 *C	56.40 %		63.80 %	
30	0	1	18.60 *C	18.50 *C	56.30 %		63.80 %	
40	0	1	18.50 *C	18.40 *C	56.30 %		63.80 %	
50	0	1	18.40 *C	18.40 *C	56.20 %		63.80 %	
0	1	1	18.30 *C	18.30 *C	56.00 %		63.40 %	
10	1	1	18.30 *C	18.30 *C	55.30 %		62.90 %	
20	1	1	18.30 *C	18.20 *C	55.30 %		62.80 %	
30	1	1	18.20 *C	18.10 *C	55.10 %		62.70 %	
40	1	1	18.20 *C	18.10 *C	55.10 %		62.60 %	
50	1	1	18.10 *C	18.10 *C	55.10 %		62.60 %	
0	2	1	18.10 *C	18.00 *C	55.00 %		62.40 %	
10	2	1	18.00 *C	18.00 *C	54.50 %		61.90 %	
20	2	1	18.00 *C	17.90 *C	54.30 %		61.70 %	
30	2	1	17.90 *C	17.90 *C	54.00 %		61.30 %	
40	2	1	17.90 *C	17.80 *C	53.80 %		61.10 %	
50	2	1	17.90 *C	17.80 *C	53.70 %		61.10 %	
0	3	1	17.80 *C	17.80 *C	53.70 %		61.10 %	
10	3	1	17.80 *C	17.70 *C	53.80 %		61.20 %	
20	3	1	17.80 *C	17.80 *C	53.90 %		61.40 %	
30	3	1	17.80 *C	17.70 *C	54.10 %		61.60 %	
40	3	1	17.80 *C	17.70 *C	54.20 %		61.60 %	
50	3	1	17.80 *C	17.70 *C	54.30 %		61.60 %	
0	4	1	17.80 *C	17.70 *C	54.20 %		61.60 %	
10	4	1	17.80 *C	17.80 *C	54.20 %		61.50 %	
20	4	1	17.80 *C	17.70 *C	54.20 %		61.60 %	
30	4	1	17.80 *C	17.70 *C	54.20 %		61.60 %	
40	4	1	17.70 *C	17.70 *C	54.30 %		61.70 %	
50	4	1	17.70 *C	17.70 *C	54.50 %		61.90 %	
0	5	1	17.70 *C	17.70 *C	54.40 %		61.90 %	
10	5	1	17.70 *C	17.70 *C	54.50 %		62.00 %	
